replicate,pop,gen,odomS,Fis,selModel
6,STL,5,0.6,-0.6059,incompODomSel
6,STM,5,0.6,-0.6897,incompODomSel
6,STH,5,0.6,-0.5846,incompODomSel
6,STL,6,0.6,-0.5806,incompODomSel
6,STM,6,0.6,-0.435,incompODomSel
6,STH,6,0.6,-0.6172,incompODomSel
6,STL,7,0.6,-0.6994,incompODomSel
6,STM,7,0.6,-0.6059,incompODomSel
6,STH,7,0.6,-0.6059,incompODomSel
6,STL,8,0.6,-0.5482,incompODomSel
6,STM,8,0.6,-0.5225,incompODomSel
6,STH,8,0.6,-0.6361,incompODomSel
6,STL,9,0.6,-0.4678,incompODomSel
6,STM,9,0.6,-0.6039,incompODomSel
6,STH,9,0.6,-0.4939,incompODomSel
6,STL,10,0.6,-0.435,incompODomSel
6,STM,10,0.6,-0.8148,incompODomSel
6,STH,10,0.6,-0.5806,incompODomSel
6,STL,11,0.6,-0.4177,incompODomSel
6,STM,11,0.6,-0.6333,incompODomSel
6,STH,11,0.6,-0.4939,incompODomSel
6,STL,12,0.6,-0.4939,incompODomSel
6,STM,12,0.6,-0.5077,incompODomSel
6,STH,12,0.6,-0.4678,incompODomSel
6,STL,13,0.6,-0.5312,incompODomSel
6,STM,13,0.6,-0.5077,incompODomSel
6,STH,13,0.6,-0.4939,incompODomSel
6,STL,14,0.6,-0.6994,incompODomSel
6,STM,14,0.6,-0.435,incompODomSel
6,STH,14,0.6,-0.6066,incompODomSel
6,STL,15,0.6,-0.5482,incompODomSel
6,STM,15,0.6,-0.4939,incompODomSel
6,STH,15,0.6,-0.5223,incompODomSel
6,STL,16,0.6,-0.75,incompODomSel
6,STM,16,0.6,-0.4412,incompODomSel
6,STH,16,0.6,-0.6361,incompODomSel
6,STL,17,0.6,-0.4425,incompODomSel
6,STM,17,0.6,-0.3936,incompODomSel
6,STH,17,0.6,-0.5207,incompODomSel
6,STL,18,0.6,-0.4678,incompODomSel
6,STM,18,0.6,-0.4627,incompODomSel
6,STH,18,0.6,-0.6059,incompODomSel
6,STL,19,0.6,-0.6897,incompODomSel
6,STM,19,0.6,-0.4939,incompODomSel
6,STH,19,0.6,-0.7327,incompODomSel
6,STL,20,0.6,-0.5806,incompODomSel
6,STM,20,0.6,-0.5766,incompODomSel
6,STH,20,0.6,-0.7327,incompODomSel
7,STL,1,0.6,-1,incompODomSel
7,STM,1,0.6,-1,incompODomSel
7,STH,1,0.6,-1,incompODomSel
7,STL,2,0.6,-0.5223,incompODomSel
7,STM,2,0.6,-0.6333,incompODomSel
7,STH,2,0.6,-0.6994,incompODomSel
7,STL,3,0.6,-0.4924,incompODomSel
7,STM,3,0.6,-0.4425,incompODomSel
7,STH,3,0.6,-0.4873,incompODomSel
7,STL,4,0.6,-0.5766,incompODomSel
7,STM,4,0.6,-0.6066,incompODomSel
7,STH,4,0.6,-0.6508,incompODomSel
7,STL,5,0.6,-0.6361,incompODomSel
7,STM,5,0.6,-0.5846,incompODomSel
7,STH,5,0.6,-0.4083,incompODomSel
7,STL,6,0.6,-0.5021,incompODomSel
7,STM,6,0.6,-0.7193,incompODomSel
7,STH,6,0.6,-0.7193,incompODomSel
7,STL,7,0.6,-0.2775,incompODomSel
7,STM,7,0.6,-0.4073,incompODomSel
7,STH,7,0.6,-0.7672,incompODomSel
7,STL,8,0.6,-0.4177,incompODomSel
7,STM,8,0.6,-0.6672,incompODomSel
7,STH,8,0.6,-0.6059,incompODomSel
7,STL,9,0.6,-0.5766,incompODomSel
7,STM,9,0.6,-0.8148,incompODomSel
7,STH,9,0.6,-0.6897,incompODomSel
7,STL,10,0.6,-0.6672,incompODomSel
7,STM,10,0.6,-0.6672,incompODomSel
7,STH,10,0.6,-0.5806,incompODomSel
