replicate,pop,gen,V4,selModel
9,STH,20,0,incompSexDistSel
10,STL,1,-1,incompSexDistSel
10,STM,1,-1,incompSexDistSel
10,STH,1,-1,incompSexDistSel
10,STL,2,-0.4924,incompSexDistSel
10,STM,2,-0.4425,incompSexDistSel
10,STH,2,-0.4425,incompSexDistSel
10,STL,3,-0.37,incompSexDistSel
10,STM,3,-0.2379,incompSexDistSel
10,STH,3,-0.3067,incompSexDistSel
10,STL,4,-0.1807,incompSexDistSel
10,STM,4,-0.3425,incompSexDistSel
10,STH,4,-0.2895,incompSexDistSel
10,STL,5,0.0134,incompSexDistSel
10,STM,5,-0.3803,incompSexDistSel
10,STH,5,-0.1395,incompSexDistSel
10,STL,6,-0.2099,incompSexDistSel
10,STM,6,-0.0389,incompSexDistSel
10,STH,6,-0.1011,incompSexDistSel
10,STL,7,-0.225,incompSexDistSel
10,STM,7,-0.2564,incompSexDistSel
10,STH,7,-0.1011,incompSexDistSel
10,STL,8,-0.0316,incompSexDistSel
10,STM,8,-0.1951,incompSexDistSel
10,STH,8,-0.0769,incompSexDistSel
10,STL,9,-0.053,incompSexDistSel
10,STM,9,-0.1011,incompSexDistSel
10,STH,9,-0.1136,incompSexDistSel
10,STL,10,-0.2564,incompSexDistSel
10,STM,10,-0.0538,incompSexDistSel
10,STH,10,-0.1136,incompSexDistSel
10,STL,11,-0.2564,incompSexDistSel
10,STM,11,-0.0208,incompSexDistSel
10,STH,11,-0.1667,incompSexDistSel
10,STL,12,-0.1529,incompSexDistSel
10,STM,12,NaN,incompSexDistSel
10,STH,12,-0.1136,incompSexDistSel
10,STL,13,-0.1264,incompSexDistSel
10,STM,13,NaN,incompSexDistSel
10,STH,13,-0.1951,incompSexDistSel
10,STL,14,-0.1264,incompSexDistSel
10,STM,14,NaN,incompSexDistSel
10,STH,14,-0.074,incompSexDistSel
10,STL,15,-0.225,incompSexDistSel
10,STM,15,NaN,incompSexDistSel
10,STH,15,-0.2099,incompSexDistSel
10,STL,16,-0.225,incompSexDistSel
10,STM,16,NaN,incompSexDistSel
