replicate,pop,gen,disS,H0,selModel
8,STH,14,0.2,0.4,incompDisSexDistSel
8,STL,15,0.2,0.28,incompDisSexDistSel
8,STM,15,0.2,0.26,incompDisSexDistSel
8,STH,15,0.2,0.56,incompDisSexDistSel
8,STL,16,0.2,0.18,incompDisSexDistSel
8,STM,16,0.2,0.16,incompDisSexDistSel
8,STH,16,0.2,0.38,incompDisSexDistSel
8,STL,17,0.2,0.24,incompDisSexDistSel
8,STM,17,0.2,0.18,incompDisSexDistSel
8,STH,17,0.2,0.24,incompDisSexDistSel
8,STL,18,0.2,0.16,incompDisSexDistSel
8,STM,18,0.2,0.12,incompDisSexDistSel
8,STH,18,0.2,0.32,incompDisSexDistSel
8,STL,19,0.2,0.2,incompDisSexDistSel
8,STM,19,0.2,0.16,incompDisSexDistSel
8,STH,19,0.2,0.28,incompDisSexDistSel
8,STL,20,0.2,0.26,incompDisSexDistSel
8,STM,20,0.2,0.12,incompDisSexDistSel
8,STH,20,0.2,0.26,incompDisSexDistSel
9,STL,1,0.2,1,incompDisSexDistSel
9,STM,1,0.2,1,incompDisSexDistSel
9,STH,1,0.2,1,incompDisSexDistSel
9,STL,2,0.2,0.66,incompDisSexDistSel
9,STM,2,0.2,0.66,incompDisSexDistSel
9,STH,2,0.2,0.62,incompDisSexDistSel
9,STL,3,0.2,0.44,incompDisSexDistSel
9,STM,3,0.2,0.34,incompDisSexDistSel
9,STH,3,0.2,0.58,incompDisSexDistSel
9,STL,4,0.2,0.46,incompDisSexDistSel
9,STM,4,0.2,0.36,incompDisSexDistSel
9,STH,4,0.2,0.44,incompDisSexDistSel
9,STL,5,0.2,0.34,incompDisSexDistSel
9,STM,5,0.2,0.4,incompDisSexDistSel
9,STH,5,0.2,0.5,incompDisSexDistSel
9,STL,6,0.2,0.28,incompDisSexDistSel
9,STM,6,0.2,0.46,incompDisSexDistSel
9,STH,6,0.2,0.4,incompDisSexDistSel
9,STL,7,0.2,0.12,incompDisSexDistSel
9,STM,7,0.2,0.3,incompDisSexDistSel
9,STH,7,0.2,0.52,incompDisSexDistSel
9,STL,8,0.2,0.08,incompDisSexDistSel
9,STM,8,0.2,0.36,incompDisSexDistSel
9,STH,8,0.2,0.38,incompDisSexDistSel
9,STL,9,0.2,0.04,incompDisSexDistSel
9,STM,9,0.2,0.4,incompDisSexDistSel
9,STH,9,0.2,0.34,incompDisSexDistSel
9,STL,10,0.2,0.06,incompDisSexDistSel
9,STM,10,0.2,0.44,incompDisSexDistSel
9,STH,10,0.2,0.22,incompDisSexDistSel
9,STL,11,0.2,0.04,incompDisSexDistSel
9,STM,11,0.2,0.38,incompDisSexDistSel
9,STH,11,0.2,0.32,incompDisSexDistSel
9,STL,12,0.2,0,incompDisSexDistSel
9,STM,12,0.2,0.28,incompDisSexDistSel
9,STH,12,0.2,0.36,incompDisSexDistSel
9,STL,13,0.2,0,incompDisSexDistSel
9,STM,13,0.2,0.22,incompDisSexDistSel
9,STH,13,0.2,0.22,incompDisSexDistSel
9,STL,14,0.2,0,incompDisSexDistSel
9,STM,14,0.2,0.1,incompDisSexDistSel
9,STH,14,0.2,0.22,incompDisSexDistSel
9,STL,15,0.2,0,incompDisSexDistSel
9,STM,15,0.2,0.14,incompDisSexDistSel
9,STH,15,0.2,0.2,incompDisSexDistSel
9,STL,16,0.2,0,incompDisSexDistSel
9,STM,16,0.2,0.04,incompDisSexDistSel
9,STH,16,0.2,0.08,incompDisSexDistSel
9,STL,17,0.2,0,incompDisSexDistSel
9,STM,17,0.2,0,incompDisSexDistSel
9,STH,17,0.2,0.08,incompDisSexDistSel
9,STL,18,0.2,0,incompDisSexDistSel
9,STM,18,0.2,0,incompDisSexDistSel
9,STH,18,0.2,0.08,incompDisSexDistSel
9,STL,19,0.2,0,incompDisSexDistSel
9,STM,19,0.2,0,incompDisSexDistSel
9,STH,19,0.2,0.06,incompDisSexDistSel
9,STL,20,0.2,0,incompDisSexDistSel
9,STM,20,0.2,0,incompDisSexDistSel
9,STH,20,0.2,0.04,incompDisSexDistSel
