replicate,pop,gen,odomS,H0,selModel
7,STH,19,0.2,0.44,incompODomSel
7,STL,20,0.2,0.26,incompODomSel
7,STM,20,0.2,0.38,incompODomSel
7,STH,20,0.2,0.48,incompODomSel
8,STL,1,0.2,1,incompODomSel
8,STM,1,0.2,1,incompODomSel
8,STH,1,0.2,1,incompODomSel
8,STL,2,0.2,0.7,incompODomSel
8,STM,2,0.2,0.66,incompODomSel
8,STH,2,0.2,0.62,incompODomSel
8,STL,3,0.2,0.6,incompODomSel
8,STM,3,0.2,0.54,incompODomSel
8,STH,3,0.2,0.76,incompODomSel
8,STL,4,0.2,0.54,incompODomSel
8,STM,4,0.2,0.52,incompODomSel
8,STH,4,0.2,0.52,incompODomSel
8,STL,5,0.2,0.4,incompODomSel
8,STM,5,0.2,0.42,incompODomSel
8,STH,5,0.2,0.5,incompODomSel
8,STL,6,0.2,0.3,incompODomSel
8,STM,6,0.2,0.4,incompODomSel
8,STH,6,0.2,0.42,incompODomSel
8,STL,7,0.2,0.32,incompODomSel
8,STM,7,0.2,0.36,incompODomSel
8,STH,7,0.2,0.44,incompODomSel
8,STL,8,0.2,0.38,incompODomSel
8,STM,8,0.2,0.2,incompODomSel
8,STH,8,0.2,0.5,incompODomSel
8,STL,9,0.2,0.34,incompODomSel
8,STM,9,0.2,0.16,incompODomSel
8,STH,9,0.2,0.48,incompODomSel
8,STL,10,0.2,0.3,incompODomSel
8,STM,10,0.2,0.2,incompODomSel
8,STH,10,0.2,0.52,incompODomSel
8,STL,11,0.2,0.4,incompODomSel
8,STM,11,0.2,0.14,incompODomSel
8,STH,11,0.2,0.5,incompODomSel
8,STL,12,0.2,0.32,incompODomSel
8,STM,12,0.2,0.14,incompODomSel
8,STH,12,0.2,0.42,incompODomSel
8,STL,13,0.2,0.38,incompODomSel
8,STM,13,0.2,0.12,incompODomSel
8,STH,13,0.2,0.52,incompODomSel
8,STL,14,0.2,0.32,incompODomSel
8,STM,14,0.2,0.16,incompODomSel
8,STH,14,0.2,0.4,incompODomSel
8,STL,15,0.2,0.28,incompODomSel
8,STM,15,0.2,0.16,incompODomSel
8,STH,15,0.2,0.3,incompODomSel
8,STL,16,0.2,0.16,incompODomSel
8,STM,16,0.2,0.16,incompODomSel
8,STH,16,0.2,0.38,incompODomSel
8,STL,17,0.2,0.1,incompODomSel
8,STM,17,0.2,0.24,incompODomSel
8,STH,17,0.2,0.3,incompODomSel
8,STL,18,0.2,0.18,incompODomSel
8,STM,18,0.2,0.32,incompODomSel
8,STH,18,0.2,0.26,incompODomSel
8,STL,19,0.2,0.28,incompODomSel
8,STM,19,0.2,0.38,incompODomSel
8,STH,19,0.2,0.34,incompODomSel
8,STL,20,0.2,0.3,incompODomSel
8,STM,20,0.2,0.46,incompODomSel
8,STH,20,0.2,0.38,incompODomSel
9,STL,1,0.2,1,incompODomSel
9,STM,1,0.2,1,incompODomSel
9,STH,1,0.2,1,incompODomSel
9,STL,2,0.2,0.64,incompODomSel
9,STM,2,0.2,0.7,incompODomSel
9,STH,2,0.2,0.72,incompODomSel
9,STL,3,0.2,0.58,incompODomSel
9,STM,3,0.2,0.76,incompODomSel
9,STH,3,0.2,0.62,incompODomSel
9,STL,4,0.2,0.58,incompODomSel
9,STM,4,0.2,0.52,incompODomSel
9,STH,4,0.2,0.5,incompODomSel
9,STL,5,0.2,0.6,incompODomSel
9,STM,5,0.2,0.5,incompODomSel
9,STH,5,0.2,0.28,incompODomSel
9,STL,6,0.2,0.68,incompODomSel
9,STM,6,0.2,0.42,incompODomSel
9,STH,6,0.2,0.24,incompODomSel
9,STL,7,0.2,0.62,incompODomSel
