replicate,pop,gen,disS,H0,selModel
6,STM,20,0.4,0.12,incompHetPrefAltLocSel
6,STH,20,0.4,0.04,incompHetPrefAltLocSel
7,STL,1,0.4,1,incompHetPrefAltLocSel
7,STM,1,0.4,1,incompHetPrefAltLocSel
7,STH,1,0.4,1,incompHetPrefAltLocSel
7,STL,2,0.4,0.6,incompHetPrefAltLocSel
7,STM,2,0.4,0.66,incompHetPrefAltLocSel
7,STH,2,0.4,0.84,incompHetPrefAltLocSel
7,STL,3,0.4,0.58,incompHetPrefAltLocSel
7,STM,3,0.4,0.68,incompHetPrefAltLocSel
7,STH,3,0.4,0.6,incompHetPrefAltLocSel
7,STL,4,0.4,0.38,incompHetPrefAltLocSel
7,STM,4,0.4,0.48,incompHetPrefAltLocSel
7,STH,4,0.4,0.32,incompHetPrefAltLocSel
7,STL,5,0.4,0.22,incompHetPrefAltLocSel
7,STM,5,0.4,0.3,incompHetPrefAltLocSel
7,STH,5,0.4,0.24,incompHetPrefAltLocSel
7,STL,6,0.4,0.26,incompHetPrefAltLocSel
7,STM,6,0.4,0.22,incompHetPrefAltLocSel
7,STH,6,0.4,0.2,incompHetPrefAltLocSel
7,STL,7,0.4,0.26,incompHetPrefAltLocSel
7,STM,7,0.4,0.18,incompHetPrefAltLocSel
7,STH,7,0.4,0.2,incompHetPrefAltLocSel
7,STL,8,0.4,0.2,incompHetPrefAltLocSel
7,STM,8,0.4,0.12,incompHetPrefAltLocSel
7,STH,8,0.4,0.3,incompHetPrefAltLocSel
7,STL,9,0.4,0.3,incompHetPrefAltLocSel
7,STM,9,0.4,0.16,incompHetPrefAltLocSel
7,STH,9,0.4,0.24,incompHetPrefAltLocSel
7,STL,10,0.4,0.16,incompHetPrefAltLocSel
7,STM,10,0.4,0.1,incompHetPrefAltLocSel
7,STH,10,0.4,0.2,incompHetPrefAltLocSel
7,STL,11,0.4,0.14,incompHetPrefAltLocSel
7,STM,11,0.4,0.04,incompHetPrefAltLocSel
7,STH,11,0.4,0.26,incompHetPrefAltLocSel
7,STL,12,0.4,0.22,incompHetPrefAltLocSel
7,STM,12,0.4,0.08,incompHetPrefAltLocSel
7,STH,12,0.4,0.24,incompHetPrefAltLocSel
7,STL,13,0.4,0.18,incompHetPrefAltLocSel
7,STM,13,0.4,0.02,incompHetPrefAltLocSel
7,STH,13,0.4,0.16,incompHetPrefAltLocSel
7,STL,14,0.4,0.16,incompHetPrefAltLocSel
7,STM,14,0.4,0.02,incompHetPrefAltLocSel
7,STH,14,0.4,0.16,incompHetPrefAltLocSel
7,STL,15,0.4,0.16,incompHetPrefAltLocSel
7,STM,15,0.4,0,incompHetPrefAltLocSel
7,STH,15,0.4,0.08,incompHetPrefAltLocSel
7,STL,16,0.4,0.1,incompHetPrefAltLocSel
7,STM,16,0.4,0,incompHetPrefAltLocSel
7,STH,16,0.4,0.12,incompHetPrefAltLocSel
7,STL,17,0.4,0.06,incompHetPrefAltLocSel
7,STM,17,0.4,0,incompHetPrefAltLocSel
7,STH,17,0.4,0.1,incompHetPrefAltLocSel
7,STL,18,0.4,0.02,incompHetPrefAltLocSel
7,STM,18,0.4,0,incompHetPrefAltLocSel
7,STH,18,0.4,0.14,incompHetPrefAltLocSel
7,STL,19,0.4,0.04,incompHetPrefAltLocSel
7,STM,19,0.4,0,incompHetPrefAltLocSel
7,STH,19,0.4,0.14,incompHetPrefAltLocSel
7,STL,20,0.4,0.04,incompHetPrefAltLocSel
7,STM,20,0.4,0,incompHetPrefAltLocSel
7,STH,20,0.4,0.26,incompHetPrefAltLocSel
8,STL,1,0.4,1,incompHetPrefAltLocSel
8,STM,1,0.4,1,incompHetPrefAltLocSel
8,STH,1,0.4,1,incompHetPrefAltLocSel
8,STL,2,0.4,0.64,incompHetPrefAltLocSel
8,STM,2,0.4,0.72,incompHetPrefAltLocSel
8,STH,2,0.4,0.52,incompHetPrefAltLocSel
8,STL,3,0.4,0.46,incompHetPrefAltLocSel
8,STM,3,0.4,0.44,incompHetPrefAltLocSel
8,STH,3,0.4,0.42,incompHetPrefAltLocSel
8,STL,4,0.4,0.44,incompHetPrefAltLocSel
8,STM,4,0.4,0.4,incompHetPrefAltLocSel
8,STH,4,0.4,0.42,incompHetPrefAltLocSel
8,STL,5,0.4,0.4,incompHetPrefAltLocSel
8,STM,5,0.4,0.38,incompHetPrefAltLocSel
8,STH,5,0.4,0.32,incompHetPrefAltLocSel
8,STL,6,0.4,0.34,incompHetPrefAltLocSel
8,STM,6,0.4,0.34,incompHetPrefAltLocSel
8,STH,6,0.4,0.3,incompHetPrefAltLocSel
8,STL,7,0.4,0.2,incompHetPrefAltLocSel
8,STM,7,0.4,0.24,incompHetPrefAltLocSel
8,STH,7,0.4,0.3,incompHetPrefAltLocSel
8,STL,8,0.4,0.28,incompHetPrefAltLocSel
8,STM,8,0.4,0.3,incompHetPrefAltLocSel
8,STH,8,0.4,0.28,incompHetPrefAltLocSel
8,STL,9,0.4,0.28,incompHetPrefAltLocSel
8,STM,9,0.4,0.28,incompHetPrefAltLocSel
8,STH,9,0.4,0.28,incompHetPrefAltLocSel
8,STL,10,0.4,0.22,incompHetPrefAltLocSel
8,STM,10,0.4,0.32,incompHetPrefAltLocSel
8,STH,10,0.4,0.32,incompHetPrefAltLocSel
8,STL,11,0.4,0.26,incompHetPrefAltLocSel
8,STM,11,0.4,0.28,incompHetPrefAltLocSel
8,STH,11,0.4,0.26,incompHetPrefAltLocSel
8,STL,12,0.4,0.24,incompHetPrefAltLocSel
8,STM,12,0.4,0.34,incompHetPrefAltLocSel
8,STH,12,0.4,0.24,incompHetPrefAltLocSel
8,STL,13,0.4,0.22,incompHetPrefAltLocSel
8,STM,13,0.4,0.28,incompHetPrefAltLocSel
8,STH,13,0.4,0.18,incompHetPrefAltLocSel
8,STL,14,0.4,0.14,incompHetPrefAltLocSel
8,STM,14,0.4,0.36,incompHetPrefAltLocSel
8,STH,14,0.4,0.2,incompHetPrefAltLocSel
8,STL,15,0.4,0.14,incompHetPrefAltLocSel
8,STM,15,0.4,0.34,incompHetPrefAltLocSel
8,STH,15,0.4,0.24,incompHetPrefAltLocSel
8,STL,16,0.4,0.16,incompHetPrefAltLocSel
8,STM,16,0.4,0.26,incompHetPrefAltLocSel
8,STH,16,0.4,0.16,incompHetPrefAltLocSel
8,STL,17,0.4,0.14,incompHetPrefAltLocSel
8,STM,17,0.4,0.24,incompHetPrefAltLocSel
8,STH,17,0.4,0.16,incompHetPrefAltLocSel
8,STL,18,0.4,0.04,incompHetPrefAltLocSel
8,STM,18,0.4,0.3,incompHetPrefAltLocSel
8,STH,18,0.4,0.18,incompHetPrefAltLocSel
8,STL,19,0.4,0.04,incompHetPrefAltLocSel
8,STM,19,0.4,0.32,incompHetPrefAltLocSel
8,STH,19,0.4,0.18,incompHetPrefAltLocSel
8,STL,20,0.4,0,incompHetPrefAltLocSel
8,STM,20,0.4,0.32,incompHetPrefAltLocSel
8,STH,20,0.4,0.16,incompHetPrefAltLocSel
9,STL,1,0.4,1,incompHetPrefAltLocSel
9,STM,1,0.4,1,incompHetPrefAltLocSel
9,STH,1,0.4,1,incompHetPrefAltLocSel
